entropy,epoch,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step
2.417,0.01111,77.0,1e-05,1.913,0.5833,741.0,0
2.453,0.02222,44.5,9.833e-06,1.172,0.7143,1494.0,1
2.357,0.03333,85.5,9.667e-06,1.018,0.6914,2223.0,2
2.425,0.04444,36.5,9.5e-06,0.9247,0.7654,2985.0,3
2.406,0.05556,29.75,9.333e-06,0.6205,0.869,3738.0,4
2.303,0.06667,34.25,9.167e-06,0.5003,0.8929,4479.0,5
2.258,0.07778,24.62,9e-06,0.3751,0.9167,5220.0,6
2.191,0.08889,26.38,8.833e-06,0.3877,0.8889,5976.0,7
2.073,0.1,25.0,8.667e-06,0.4353,0.8901,6733.0,8
2.011,0.1111,21.5,8.5e-06,0.3476,0.9121,7475.0,9
1.85,0.1222,16.5,8.333e-06,0.148,0.9753,8204.0,10
1.896,0.1333,19.38,8.167e-06,0.1644,0.9506,8962.0,11
1.846,0.1444,16.88,8e-06,0.1233,0.963,9706.0,12
1.7,0.1556,10.06,7.833e-06,0.07985,0.9881,10420.0,13
1.749,0.1667,29.62,7.667e-06,0.2817,0.9231,11180.0,14
1.676,0.1778,25.88,7.5e-06,0.2428,0.9121,11920.0,15
1.624,0.1889,9.938,7.333e-06,0.06417,0.9877,12660.0,16
1.503,0.2,5.938,7.167e-06,0.04239,0.9877,13390.0,17
1.551,0.2111,7.812,7e-06,0.04358,0.9877,14140.0,18
1.474,0.2222,6.438,6.833e-06,0.03408,1.0,14860.0,19
1.532,0.2333,23.12,6.667e-06,0.1114,0.9524,15600.0,20
1.434,0.2444,19.12,6.5e-06,0.08123,0.9881,16320.0,21
1.405,0.2556,5.281,6.333e-06,0.02027,1.0,17050.0,22
1.515,0.2667,17.75,6.167e-06,0.1202,0.956,17800.0,23
1.485,0.2778,18.62,6e-06,0.07709,0.9643,18560.0,24
1.463,0.2889,21.5,5.833e-06,0.09408,0.9643,19300.0,25
1.436,0.3,22.25,5.667e-06,0.09982,0.978,20060.0,26
1.343,0.3111,7.812,5.5e-06,0.01861,1.0,20770.0,27
1.441,0.3222,37.75,5.333e-06,0.1239,0.9451,21520.0,28
1.328,0.3333,2.672,5.167e-06,0.009573,1.0,22230.0,29
1.3,0.3444,14.62,5e-06,0.02482,0.989,22960.0,30
1.307,0.3556,4.906,4.833e-06,0.008108,1.0,23690.0,31
1.381,0.3667,13.56,4.667e-06,0.03481,0.9877,24440.0,32
1.316,0.3778,7.375,4.5e-06,0.01005,1.0,25160.0,33
1.356,0.3889,16.88,4.333e-06,0.0685,0.989,25900.0,34
1.298,0.4,1.891,4.167e-06,0.006622,1.0,26620.0,35
1.388,0.4111,27.25,4e-06,0.09611,0.978,27380.0,36
1.388,0.4222,28.5,3.833e-06,0.09685,0.9762,28130.0,37
1.389,0.4333,21.25,3.667e-06,0.04508,0.9881,28890.0,38
1.409,0.4444,10.06,3.5e-06,0.03186,0.9881,29640.0,39
1.421,0.4556,17.12,3.333e-06,0.05154,0.9881,30400.0,40
1.332,0.4667,12.88,3.167e-06,0.01881,1.0,31160.0,41
1.28,0.4778,13.0,3e-06,0.00977,1.0,31890.0,42
1.274,0.4889,2.453,2.833e-06,0.005117,1.0,32600.0,43
1.25,0.5,5.312,2.667e-06,0.009284,1.0,33330.0,44
1.362,0.5111,10.06,2.5e-06,0.01928,0.9877,34070.0,45
1.426,0.5222,21.38,2.333e-06,0.06909,0.9762,34820.0,46
1.288,0.5333,1.078,2.167e-06,0.004079,1.0,35550.0,47
1.4,0.5444,21.88,2e-06,0.0511,0.9753,36310.0,48
1.375,0.5556,18.5,1.833e-06,0.07039,0.978,37060.0,49
1.397,0.5667,20.25,1.667e-06,0.06897,0.9753,37820.0,50
1.265,0.5778,2.797,1.5e-06,0.005971,1.0,38550.0,51
1.324,0.5889,17.25,1.333e-06,0.0517,0.989,39290.0,52
1.383,0.6,19.12,1.167e-06,0.07808,0.967,40040.0,53
1.282,0.6111,2.281,1e-06,0.005442,1.0,40760.0,54
1.36,0.6222,9.688,8.333e-07,0.01807,0.9877,41510.0,55
1.246,0.6333,3.0,6.667e-07,0.006113,1.0,42230.0,56
1.409,0.6444,23.0,5e-07,0.04437,0.9753,42990.0,57
1.241,0.6556,3.297,3.333e-07,0.006937,1.0,43720.0,58
1.419,0.6667,22.5,1.667e-07,0.05574,0.9762,44470.0,59
